City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,miramichi,47.0043,-65.4654,7.93,77,100,2.95,CA,1712874307
1,port mathurin,-19.6833,63.4167,26.71,77,4,5.04,MU,1712873837
2,waitangi,-43.9535,-176.5597,17.68,93,100,4.47,NZ,1712873896
3,puerto ayora,-0.7393,-90.3518,28.98,97,48,4.47,EC,1712874310
4,bethel,41.3712,-73.414,15.27,88,100,1.54,US,1712874185
5,bredasdorp,-34.5322,20.0403,13.91,71,3,4.45,ZA,1712873819
6,edinburgh of the seven seas,-37.0676,-12.3116,18.45,95,76,7.38,SH,1712873827
7,puerto natales,-51.7236,-72.4875,4.5,89,20,2.47,CL,1712874154
8,shingu,33.7333,135.9833,14.2,84,100,3.67,JP,1712874312
9,namibe,-15.1961,12.1522,22.68,72,0,2.55,AO,1712873677
10,grytviken,-54.2811,-36.5092,-1.31,70,13,4.31,GS,1712873762
11,badger,64.8,-147.5333,6.31,44,75,4.12,US,1712874166
12,olonkinbyen,70.9221,-8.7187,-8.43,88,100,6.79,SJ,1712874226
13,albany,42.6001,-73.9662,15.37,79,100,0.89,US,1712873886
14,margaret river,-33.95,115.0667,11.57,88,5,5.25,AU,1712874142
15,kosh-agach,50.0,88.6667,-0.39,68,100,4.47,RU,1712874316
16,fort bragg,35.139,-79.006,21.57,88,100,5.66,US,1712874132
17,pechora,65.1472,57.2244,1.03,98,100,9.83,RU,1712874318
18,tromso,69.6496,18.957,2.01,87,100,4.63,NO,1712874318
19,vilyuysk,63.7553,121.6247,-18.89,96,82,2.68,RU,1712874163
20,tazovsky,67.4667,78.7,-22.54,95,53,6.22,RU,1712874034
21,port-aux-francais,-49.35,70.2167,5.9,89,100,3.34,TF,1712873777
22,crane,31.3974,-102.3501,26.53,14,0,5.34,US,1712874157
23,yellowknife,62.456,-114.3525,4.67,69,74,3.13,CA,1712873829
24,ilulissat,69.2167,-51.1,-5.99,79,100,1.54,GL,1712874184
25,katsuren-haebaru,26.3369,127.8719,21.16,92,0,2.57,JP,1712874323
26,derzhavinsk,51.1,66.3167,1.14,74,9,3.09,KZ,1712874323
27,nha trang,12.25,109.1833,26.0,87,60,2.28,VN,1712874324
28,mount pearl,47.5166,-52.7813,3.8,76,0,5.14,CA,1712874125
29,rongelap,11.1635,166.8941,26.91,80,100,9.15,MH,1712874049
30,ribeira grande,38.5167,-28.7,15.99,93,97,1.79,PT,1712874157
31,glen innes,-29.7333,151.7333,12.81,68,0,1.3,AU,1712874318
32,aripuana,-9.1667,-60.6333,25.64,95,100,0.81,BR,1712874327
33,blackmans bay,-43.0167,147.3167,11.4,84,82,0.45,AU,1712873893
34,lompoc,34.6391,-120.4579,28.77,72,0,4.63,US,1712874186
35,kodiak,57.79,-152.4072,0.73,93,100,2.06,US,1712874135
36,gaya,24.7833,85.0,25.02,41,66,2.86,IN,1712874101
37,whitehorse,60.7161,-135.0538,7.43,33,20,6.17,CA,1712874330
38,bairnsdale,-37.8333,147.6167,13.92,94,0,1.96,AU,1712874331
39,carloforte,39.145,8.3058,12.72,73,37,2.04,IT,1712874331
40,stanley,54.868,-1.6985,13.17,94,40,4.63,GB,1712874082
41,chonchi,-42.6128,-73.8092,15.56,69,0,0.63,CL,1712873895
42,fale old settlement,-9.3852,-171.2468,29.55,76,23,3.81,TK,1712873910
43,bilibino,68.0546,166.4372,-13.38,86,100,1.52,RU,1712873872
44,usogorsk,63.4106,48.6872,4.81,100,100,6.94,RU,1712874239
45,ugoofaaru,5.6667,73.0,29.06,73,82,2.15,MV,1712874336
46,ust-nera,64.5667,143.2,-8.62,94,87,2.53,RU,1712874175
47,atafu village,-8.5421,-172.5159,29.5,76,47,3.35,TK,1712873910
48,luderitz,-26.6481,15.1594,21.98,46,0,2.0,NA,1712873905
49,narsingdi,23.9208,90.7181,27.01,32,99,3.17,BD,1712874338
50,talnakh,69.4865,88.3972,-26.0,97,96,3.45,RU,1712874338
51,isafjordur,66.0755,-23.124,-2.81,94,100,13.94,IS,1712873783
52,san antonio de pale,-1.4014,5.6325,27.61,78,100,4.51,GQ,1712874089
53,turabah,21.2141,41.6331,24.42,60,5,2.71,SA,1712874340
54,thompson,55.7435,-97.8558,1.09,75,100,4.12,CA,1712873844
55,qaqortoq,60.7167,-46.0333,-6.33,87,63,1.01,GL,1712874200
56,pajara,28.3504,-14.1076,20.73,39,0,6.2,ES,1712874342
57,east london,-33.0153,27.9116,15.82,63,44,6.96,ZA,1712874342
58,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,71,0,11.62,RU,1712874118
59,malanje,-9.5402,16.341,20.36,94,100,0.9,AO,1712874182
60,hulan,45.9833,126.6,10.06,66,100,6.5,CN,1712874345
61,susuman,62.7833,148.1667,-13.34,97,99,1.34,RU,1712874316
62,urangan,-25.3,152.9,21.22,84,9,3.13,AU,1712874346
63,dingzhou,38.5131,114.9956,12.06,92,0,1.91,CN,1712874346
64,happy valley-goose bay,53.3168,-60.3315,12.17,22,75,5.66,CA,1712874245
65,horta,38.5333,-28.6333,15.57,93,93,1.79,PT,1712874158
66,howrah,22.5892,88.3103,26.0,65,40,2.06,IN,1712874155
67,adamstown,-25.066,-130.1015,21.05,54,3,5.97,PN,1712873893
68,ushuaia,-54.8,-68.3,7.81,66,0,12.35,AR,1712874274
69,tommot,58.9564,126.2925,0.68,92,100,2.21,RU,1712874327
70,papatowai,-46.5619,169.4708,7.65,86,100,2.2,NZ,1712874351
71,vilyuchinsk,52.9306,158.4028,3.15,76,5,3.7,RU,1712874261
72,as sulayyil,20.4607,45.5779,29.14,28,31,4.46,SA,1712874352
73,hammerfest,70.6634,23.6821,1.25,86,75,4.63,NO,1712874352
74,tiksi,71.6872,128.8694,-26.88,95,22,5.38,RU,1712874353
75,avarua,-21.2078,-159.775,27.03,89,75,7.72,CK,1712874354
76,carnarvon,-24.8667,113.6333,21.36,66,93,9.94,AU,1712874215
77,fenghuang,27.9356,109.5996,15.74,98,100,0.1,CN,1712874355
78,iqaluit,63.7506,-68.5145,-2.15,68,100,2.57,CA,1712873870
79,palikir - national government center,6.9248,158.1611,27.47,83,100,1.54,FM,1712874165
80,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712873807
81,plastun,44.7561,136.2939,8.57,73,8,0.43,RU,1712874332
82,new norfolk,-42.7826,147.0587,12.06,84,91,1.18,AU,1712874357
83,es castell,39.8795,4.2854,13.38,82,0,3.09,ES,1712874358
84,constantia,44.1833,28.65,15.39,59,16,2.87,RO,1712873859
85,hermanus,-34.4187,19.2345,13.78,72,19,7.87,ZA,1712873901
86,qina,26.1642,32.7267,23.36,26,54,3.6,EG,1712874359
87,wailua homesteads,22.0669,-159.378,26.24,84,100,2.06,US,1712873897
88,bantilan,14.7519,121.6656,25.76,80,83,3.03,PH,1712874361
89,gizo,-8.103,156.8419,28.54,77,90,1.88,SB,1712874361
90,broken hill,-31.95,141.4333,11.77,63,26,3.87,AU,1712874164
91,nova granada,-20.5339,-49.3142,26.14,66,100,0.6,BR,1712874363
92,laghouat,33.8,2.8651,8.87,67,9,7.95,DZ,1712874364
93,mckinleyville,40.9465,-124.1006,19.59,75,40,7.2,US,1712874365
94,jamestown,42.097,-79.2353,17.77,97,100,4.12,US,1712873867
95,luwingu,-10.2621,29.9271,17.64,99,100,1.96,ZM,1712874366
96,wanning,18.8003,110.3967,23.82,95,32,1.5,CN,1712874292
97,saldanha,-33.0117,17.9442,17.03,58,7,5.96,ZA,1712874188
98,college,64.8569,-147.8028,6.36,43,75,4.12,US,1712873732
99,fortuna,40.5982,-124.1573,14.4,80,100,5.14,US,1712874369
100,longyearbyen,78.2186,15.6401,-14.09,66,0,3.6,SJ,1712873824
101,udachny,66.4167,112.4,-28.08,100,100,2.06,RU,1712873854
102,misratah,32.3754,15.0925,17.64,84,83,6.09,LY,1712874371
103,bom jesus,-9.0744,-44.3586,28.46,58,92,0.52,BR,1712874371
104,dapa,9.7594,126.0531,26.33,81,100,3.08,PH,1712874372
105,santa maria,-29.6842,-53.8069,17.61,88,100,5.14,BR,1712874106
106,shagonar,51.5333,92.8,1.96,89,78,1.48,RU,1712874080
107,lihue,21.9789,-159.3672,26.58,80,100,2.06,US,1712873897
108,sao joao da barra,-21.6403,-41.0511,25.05,85,10,3.01,BR,1712874284
109,hadibu,12.65,54.0333,27.24,78,96,2.16,YE,1712874375
110,santa cruz,-17.8,-63.1667,26.03,69,75,4.12,BO,1712874375
111,port washington,40.8257,-73.6982,15.91,85,100,5.14,US,1712874376
112,pahrump,36.2083,-115.9839,29.41,14,0,2.24,US,1712874124
113,hanceville,34.0607,-86.7675,13.03,91,100,8.37,US,1712874377
114,vorgashor,67.5833,63.95,-9.55,87,100,10.83,RU,1712874170
115,saynshand,44.8824,110.1163,10.17,31,77,1.53,MN,1712873892
116,minas de marcona,-15.2119,-75.1103,19.29,70,3,6.96,PE,1712874379
117,port hedland,-20.3167,118.5667,21.03,94,0,1.54,AU,1712874158
118,vila velha,-20.3297,-40.2925,27.75,82,20,1.54,BR,1712874091
119,kingscliff,-28.2667,153.5667,22.75,73,75,4.63,AU,1712874381
120,kholmsk,47.0511,142.0569,6.09,89,100,5.05,RU,1712874382
121,rikaze,29.25,88.8833,-0.26,38,12,1.43,CN,1712874383
122,pariaman,-0.619,100.12,27.03,80,82,1.7,ID,1712874383
123,kertih,4.5141,103.4483,25.01,94,99,0.0,MY,1712874384
124,lerwick,60.1545,-1.1494,9.0,84,100,7.27,GB,1712874125
125,celldomolk,47.2571,17.1503,10.61,74,85,3.07,HU,1712874385
126,uturoa,-16.7333,-151.4333,29.12,75,46,7.36,PF,1712874386
127,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712874095
128,walvis bay,-22.9575,14.5053,17.09,80,5,1.47,NA,1712874189
129,flying fish cove,-10.4217,105.6791,26.82,83,75,4.12,CX,1712874387
130,aasiaat,68.7098,-52.8699,-5.9,91,99,1.94,GL,1712874388
131,invercargill,-46.4,168.35,9.45,85,100,0.45,NZ,1712873893
132,hamilton,39.1834,-84.5333,18.35,91,75,9.77,US,1712874210
133,ta`u,-14.2336,-169.5144,29.03,78,5,4.44,AS,1712874153
134,siteki,-26.45,31.95,12.51,83,12,1.44,SZ,1712874390
135,odacho-oda,35.1833,132.5,11.43,77,32,2.65,JP,1712874391
136,antalaha,-14.9003,50.2788,24.99,93,19,1.48,MG,1712874391
137,bubaque,11.2833,-15.8333,24.22,71,0,9.19,GW,1712874307
138,greymouth,-42.4667,171.2,12.52,85,72,4.53,NZ,1712874109
139,pisco,-13.7,-76.2167,26.03,65,0,6.17,PE,1712873620
140,senanga,-16.1167,23.2667,21.09,81,80,2.24,ZM,1712874394
141,kurinjippadi,11.5667,79.6,27.24,81,14,2.86,IN,1712874394
142,tsiombe,-25.3,45.4833,20.38,87,93,2.11,MG,1712874314
143,westport,41.1415,-73.3579,16.01,91,100,1.79,US,1712874337
144,saipan,15.1355,145.701,29.39,70,40,6.69,MP,1712873877
145,madang,-5.2246,145.7966,25.55,89,100,1.52,PG,1712874396
146,san patricio,28.017,-97.5169,31.97,21,0,5.13,US,1712874249
147,agapovka,53.2973,59.1348,10.56,72,100,4.74,RU,1712874397
148,lebu,-37.6167,-73.65,13.17,77,1,2.73,CL,1712874145
149,cumana,10.4635,-64.1775,27.46,76,1,7.2,VE,1712874186
150,tadine,-21.55,167.8833,23.8,78,100,3.62,NC,1712874191
151,ambatofinandrahana,-20.55,46.8,16.75,93,61,1.25,MG,1712874400
152,labytnangi,66.6572,66.4183,-9.79,86,100,6.91,RU,1712874179
153,huayin,34.5675,110.0921,17.04,71,0,2.72,CN,1712874401
154,ulladulla,-35.35,150.4667,12.09,75,62,1.0,AU,1712874402
155,saint-louis,16.3333,-15.0,29.21,25,1,6.63,SN,1712874402
156,tofol,5.3248,163.0078,27.88,83,100,3.09,FM,1712874204
157,klaksvik,62.2266,-6.589,7.51,92,100,11.94,FO,1712874403
158,twin falls,42.3505,-114.6445,21.19,24,0,5.66,US,1712874404
159,berezovyy,51.6667,135.7,4.46,50,2,1.9,RU,1712874404
160,gamba,-2.65,10.0,26.63,88,100,1.88,GA,1712874405
161,puerto colombia,10.9878,-74.9547,31.05,75,6,9.86,CO,1712874157
162,sydney,-33.8679,151.2073,16.86,82,20,2.57,AU,1712873888
163,anadyr,64.75,177.4833,-13.72,71,0,4.0,RU,1712874154
164,arno,60.1167,18.6333,5.99,86,26,5.34,SE,1712874407
165,mugia,43.1041,-9.2179,14.95,71,100,2.47,ES,1712874408
166,gonabad,34.3529,58.6837,18.28,34,32,3.03,IR,1712874409
167,salmon arm,50.6998,-119.3024,14.68,47,100,3.09,CA,1712874196
168,blenheim,-41.516,173.9528,13.07,95,100,1.94,NZ,1712874405
169,laguna de perlas,12.3429,-83.6712,30.05,76,86,6.1,NI,1712874411
170,upington,-28.4478,21.2561,16.21,41,0,1.54,ZA,1712874176
171,broome,42.2506,-75.833,17.21,87,100,8.23,US,1712874241
172,shiyan,32.6475,110.7781,14.01,91,0,1.17,CN,1712874412
173,hotan,37.0997,79.9269,16.42,17,11,2.55,CN,1712874255
174,dompu,-8.5356,118.4622,23.22,96,93,0.92,ID,1712874413
175,kingston,17.997,-76.7936,29.53,72,46,4.01,JM,1712873634
176,trincomalee,8.5711,81.2335,28.66,77,78,4.49,LK,1712874415
177,jiguani,20.3667,-76.4272,30.88,37,68,1.12,CU,1712874415
178,fort st. john,56.2499,-120.8529,9.94,37,100,3.09,CA,1712874416
179,kattivakkam,13.2167,80.3167,29.05,77,18,4.03,IN,1712874416
180,piotrkow kujawski,52.5511,18.4991,13.19,61,100,3.21,PL,1712874417
181,guiuan,11.0333,125.7247,26.95,80,98,3.54,PH,1712874418
182,punta arenas,-53.15,-70.9167,9.06,61,0,14.4,CL,1712874335
183,rouyn-noranda,48.2398,-79.0288,11.05,54,100,5.66,CA,1712874419
184,antsiranana,-12.2787,49.2917,25.07,91,36,1.69,MG,1712874196
185,longmen,24.9597,118.0889,20.34,91,46,0.7,CN,1712874420
186,lata,40.1629,-8.3327,17.26,84,96,1.14,PT,1712874253
187,katsuura,35.1333,140.3,14.61,87,100,6.13,JP,1712874422
188,majene,-3.5403,118.9707,23.54,97,100,1.38,ID,1712874422
189,tanout,14.9709,8.8879,30.42,9,99,4.56,NE,1712874144
190,stornoway,58.2093,-6.3865,11.32,92,100,10.29,GB,1712874286
191,nakuru,-0.2833,36.0667,17.88,85,65,1.48,KE,1712874424
192,ulanhot,46.0833,122.0833,11.31,72,100,5.54,CN,1712874179
193,ambon,-3.6954,128.1814,28.26,95,40,1.54,ID,1712874426
194,vadso,70.0744,29.7487,0.49,93,100,8.23,NO,1712873616
195,hami,42.8,93.45,13.77,37,1,3.77,CN,1712874427
196,camalu,30.85,-116.0667,19.14,62,3,4.3,MX,1712874427
197,remire-montjoly,4.9167,-52.2667,28.02,83,75,3.6,GF,1712874339
198,montepuez,-13.1256,38.9997,21.34,98,100,2.46,MZ,1712874429
199,emmett,43.8735,-116.4993,24.65,32,89,0.45,US,1712874429
200,khuzdar,27.7384,66.6434,22.02,33,100,1.14,PK,1712874430
201,tolanaro,-25.0319,46.9987,21.57,85,100,3.62,MG,1712873903
202,taoudenni,22.6783,-3.9836,29.34,10,0,5.15,ML,1712874192
203,port elizabeth,-33.918,25.5701,15.05,80,20,4.63,ZA,1712874146
204,mata-utu,-13.2816,-176.1745,29.66,75,34,5.08,WF,1712874432
205,klyuchi,52.2667,79.1667,-1.93,70,95,3.96,RU,1712874155
206,selfoss,63.9331,-20.9971,3.36,98,100,3.04,IS,1712874433
207,cuyo,10.8525,121.0086,28.13,74,100,8.77,PH,1712874434
208,haiku-pauwela,20.9219,-156.3051,27.36,71,20,7.2,US,1712874434
209,buala,-8.145,159.5921,28.59,74,100,1.37,SB,1712874435
210,callao,-12.0667,-77.15,24.16,69,0,6.17,PE,1712874435
211,vila franca do campo,37.7167,-25.4333,18.27,99,25,1.51,PT,1712874436
212,tual,-5.6667,132.75,28.55,71,92,2.88,ID,1712874242
213,hualien city,23.9769,121.6044,22.88,77,1,1.95,TW,1712874437
214,new plymouth,-39.0667,174.0833,18.78,95,94,6.5,NZ,1712874438
215,mount isa,-20.7333,139.5,17.87,42,0,2.57,AU,1712874438
216,kenitra,34.261,-6.5802,18.42,32,33,9.3,MA,1712874439
217,ituango,7.1712,-75.764,23.72,84,29,1.93,CO,1712874439
218,hawaiian paradise park,19.5933,-154.9731,24.46,96,100,2.06,US,1712873894
219,bonthe,7.5264,-12.505,26.44,81,100,2.66,SL,1712874144
220,san jeronimo de juarez,17.1333,-100.4667,29.24,60,5,3.0,MX,1712874441
221,roccella ionica,38.322,16.4009,16.35,69,100,2.54,IT,1712874441
222,hithadhoo,-0.6,73.0833,28.55,74,100,2.76,MV,1712874442
223,aykhal,66.0,111.5,-29.77,100,100,2.69,RU,1712874183
224,torghay,49.6339,63.4981,3.94,62,5,2.72,KZ,1712874444
225,afaahiti,-17.75,-149.2833,29.93,86,98,7.48,PF,1712874443
226,mejit,10.2753,170.8646,26.79,79,100,8.94,MH,1712874445
227,el gouna,27.3942,33.6782,23.05,41,51,6.74,EG,1712874446
228,georgetown,5.4112,100.3354,27.75,83,20,1.03,MY,1712873860
229,chita,52.0333,113.55,-5.06,93,10,1.0,RU,1712874447
230,porto novo,6.4965,2.6036,29.9,79,73,4.68,BJ,1712874180
231,oulunsalo,64.9346,25.4112,2.04,87,0,3.6,FI,1712874448
232,coquimbo,-29.9533,-71.3436,13.85,94,100,2.57,CL,1712874048
233,vinh,18.6667,105.6667,22.79,98,30,0.84,VN,1712874449
234,lazaro cardenas,17.9583,-102.2,27.77,61,0,3.69,MX,1712874450
235,inarajan village,13.2736,144.7484,28.54,89,100,6.47,GU,1712874450
236,nouadhibou,20.931,-17.0347,19.99,83,0,3.09,MR,1712874451
237,port douglas,-16.4833,145.4667,24.27,69,52,3.2,AU,1712874452
238,zinjibar,13.1287,45.3807,27.44,75,54,2.92,YE,1712874452
239,port isabel,26.0734,-97.2086,32.02,43,0,6.69,US,1712874300
240,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,3.7,RU,1712874212
241,prainha,-1.8,-53.48,26.53,88,50,0.78,BR,1712874454
242,freetown,8.484,-13.2299,27.84,74,27,5.66,SL,1712874388
243,crossett,33.1282,-91.9612,22.99,48,0,5.73,US,1712874455
244,changji,44.0167,87.3167,14.44,41,0,4.0,CN,1712874455
245,jinchang,38.4953,102.1739,11.39,38,66,1.61,CN,1712874456
246,enewetak,11.3474,162.3373,27.0,79,94,9.66,MH,1712873908
247,toliara,-23.35,43.6667,23.69,77,100,4.11,MG,1712874168
248,thabazimbi,-24.5917,27.4116,18.98,61,72,3.15,ZA,1712874458
249,tabanan,-8.5413,115.1252,26.22,91,100,1.79,ID,1712874458
250,carauari,-4.8828,-66.8958,25.66,90,99,0.43,BR,1712874459
251,hasaki,35.7333,140.8333,15.22,79,100,5.81,JP,1712874459
252,west island,-12.1568,96.8225,25.99,83,49,2.06,CC,1712873901
253,gaimersheim,48.807,11.368,10.44,66,87,1.82,DE,1712874460
254,florence,43.7667,11.25,17.04,68,0,1.03,IT,1712874330
255,emerald,-23.5333,148.1667,20.19,44,0,4.86,AU,1712874422
256,sinop,41.7711,34.8709,9.7,91,33,1.49,TR,1712874462
257,khawr fakkan,25.3313,56.342,31.03,54,59,4.21,AE,1712874463
258,okhotsk,59.3833,143.3,-3.87,93,89,2.16,RU,1712874463
259,le port,-20.9373,55.2919,26.0,86,73,3.24,RE,1712874194
260,dubbo,-32.25,148.6167,14.07,82,0,3.6,AU,1712874465
261,nogliki,51.8333,143.1667,3.52,88,32,5.36,RU,1712874232
262,port alfred,-33.5906,26.891,14.54,83,15,2.68,ZA,1712874184
263,geraldton,-28.7667,114.6,18.23,72,2,1.54,AU,1712874467
264,andorra,42.5,1.5,10.11,51,5,2.11,AD,1712874467
265,dolbeau-mistassini,48.8763,-72.212,9.26,87,100,3.53,CA,1712874468
266,karratha,-20.7377,116.8463,26.72,73,54,2.39,AU,1712874190
267,west bay,19.3667,-81.4167,30.04,81,20,5.14,KY,1712874469
268,bayanaul,50.7889,75.6956,-3.33,83,49,2.87,KZ,1712874470
269,sanctuary point,-35.1114,150.629,19.3,77,100,1.07,AU,1712874239
270,port saint john's,-31.6229,29.5448,15.39,65,9,5.9,ZA,1712874471
271,maardu,59.4767,25.025,8.34,94,100,9.77,EE,1712874472
272,nemuro,43.3236,145.575,4.53,96,100,6.5,JP,1712874472
273,manta,-0.95,-80.7333,29.88,70,20,4.63,EC,1712874093
274,chadan,51.2833,91.5833,2.77,73,100,0.9,RU,1712874473
275,bodo,67.28,14.405,3.21,81,40,4.63,NO,1712874474
276,malpica,43.3228,-8.8105,17.77,73,100,1.46,ES,1712874474
277,bamboo flat,11.7,92.7167,26.96,81,7,2.19,IN,1712874475
278,zouerate,22.7187,-12.4521,31.78,7,0,5.39,MR,1712874186
279,zurrieq,35.8311,14.4742,15.73,88,0,4.63,MT,1712874476
280,longboat key,27.4125,-82.659,26.02,76,40,6.17,US,1712874220
281,bengkulu,-3.8004,102.2655,24.68,95,100,2.16,ID,1712874415
282,dededo village,13.5178,144.8391,27.9,79,20,6.17,GU,1712874478
